"gender","Job.Title.Description","Termination.Reason.Description","City","Pay.Frequency","Pay.Grade.Description","Protected.Veteran.Status","Voluntary.Involuntary.Termination.Flag","years_club","Attrition"
"Female","CNA WTCC3",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","CNA 5th Flr",NA,"Rochester","Weekly","22","2","No Info","Club10","0"
"Female","CNA SACC","Abandoned Job","Rochester","Weekly","22","2","No Info","Potential","1"
"Female","HIM Associate",NA,"Rochester","Weekly","22","No Answer","No Info","Club20","0"
"Female","CNA SACC",NA,"Rochester","Weekly","22","No Answer","No Info","Club20","0"
"Female","LPN 8th Flr",NA,"Rochester","Weekly","26","2","No Info","Potential","0"
"Female","CNA 9th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","LPN 4th Flr",NA,"Rochester","Weekly","26","2","No Info","Potential","0"
"Male","Stationary Engineer",NA,"Palmyra","Weekly","29","No Answer","No Info","Club20","0"
"Male","AM Cook",NA,"Rochester","Weekly","23","2","No Info","Potential","0"
"Male","LPN 6th Flr",NA,"Rochester","Weekly","26","No Answer","No Info","Club30","0"
"Male","TCC Dining Ambassador",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Male","Per Diem Phys. Therapist",NA,"Rochester","Weekly","74- Per Diem: PT/OT/Speech Path","No Answer","No Info","Potential","0"
"Male","Dining Service Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Male","AM Cook",NA,"Rochester","Weekly","23","No Answer","No Info","Club30","0"
"Male","C/O Facilities Assistant",NA,"Rochester","Weekly","20","No Answer","No Info","Potential","0"
"Female","CNA WTCC2",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","CNA 9th Flr",NA,"Rochester","Weekly","22","2","No Info","Club10","0"
"Female","CNA SCU",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Male","Paint/Carpentry Leader",NA,"Rochester","Weekly","25","No Answer","No Info","ClubElite","0"
"Male","Dir. Human Resources",NA,"Fairport","Biweekly","96- Director, 9% Target Bonus","No Answer","No Info","Club10","0"
"Male","Payroll Specialist",NA,"Spencerport","Biweekly","26","2","No Info","Potential","0"
"Female","Dietetic Support Technician",NA,"Rochester","Weekly","25","No Answer","No Info","Club10","0"
"Female","VP Marketing & Community Relat",NA,"Victor","Biweekly","97- VP, 15% Target Bonus","No Answer","No Info","Club10","0"
"Male","Protective Svc Officer",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Female","LPN SACC",NA,"Rochester","Weekly","26","2","No Info","Club10","0"
"Female","Resident Care Aide - Rainier Grove","Another Job","Rochester","Weekly","21","No Answer","No Info","ClubElite","1"
"Female","CNA 2nd Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","Facility Services Coordinator",NA,"Rochester","Weekly","24","No Answer","No Info","ClubElite","0"
"Female","Reimbursement Review Nurse",NA,"Pittsford","Weekly","31","No Answer","No Info","Club20","0"
"Female","Lead Retail Assistant",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","RN WTCC3",NA,"N. Chili","Weekly","30","No Answer","No Info","Club10","0"
"Female","Administrative Assistant",NA,"Rochester","Weekly","25","No Answer","No Info","Potential","0"
"Female","Chief Nursing Executive",NA,"Webster","Biweekly","97- VP, 15% Target Bonus","No Answer","No Info","Club20","0"
"Female","HR Recruiter",NA,"Fairport","Biweekly","29","No Answer","No Info","Potential","0"
"Female","Staffing Coordinator",NA,"Rochester","Weekly","24","No Answer","No Info","Club30","0"
"Female","Recreation Therapist",NA,"Rochester","Weekly","25","2","No Info","Club20","0"
"Female","LPN 5th Flr",NA,"Rochester","Weekly","26","2","No Info","Club10","0"
"Female","Social Worker BSW Part time",NA,"Hilton","Weekly","28","2","No Info","Potential","0"
"Female","Social Work Manager",NA,"Fairport","Biweekly","29","2","No Info","Potential","0"
"Male","Stationary Engineer",NA,"Rochester","Weekly","29","No Answer","No Info","Potential","0"
"Male","Protective Svc Officer",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Male","Physical Therapy Coord",NA,"Rochester","Biweekly","35","No Answer","No Info","Potential","0"
"Female","C/R KUA/Runner",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","Per Diem Phys. Therapist",NA,"Webster","Weekly","74- Per Diem: PT/OT/Speech Path","No Answer","No Info","Club20","0"
"Female","Per Diem Occup. Therapist",NA,"Rochester","Weekly","74- Per Diem: PT/OT/Speech Path","2","No Info","Club20","0"
"Female","Speech Pathologist",NA,"Rochester","Biweekly","32","2","No Info","Club10","0"
"Female","CNA SACC",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","LPN 7th Flr",NA,"Rochester","Weekly","26","2","No Info","Potential","0"
"Female","LPN 9th Flr",NA,"Rochester","Weekly","26","2","No Info","Potential","0"
"Male","Laundry Worker",NA,"Rochester","Weekly","20","No Answer","No Info","Potential","0"
"Male","Protective Svc Officer",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Female","SACC Nutrition Supervisor",NA,"Webster","Biweekly","28","No Answer","No Info","Club30","0"
"Female","Music Therapist",NA,"Webster","Weekly","25","No Answer","No Info","Club30","0"
"Female","CNA SCU","Another Job","Rochester","Weekly","22","2","2","Club20","1"
"Female","CNA SACC",NA,"Rochester","Weekly","22","2","No Info","Club10","0"
"Female","CNA WTCC3","Absentee-Tardiness","Rochester","Weekly","22","2","No Info","Potential","1"
"Female","CNA 3rd Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","PT Assistant",NA,"Rochester","Weekly","27","No Answer","No Info","Potential","0"
"Female","Corporate Controller",NA,"Churchville","Biweekly","33","No Answer","No Info","Club10","0"
"Female","Sr. Nurse Practitioner",NA,"Ontario","Biweekly","35","No Answer","No Info","Club30","0"
"Female","Part Time Healthcare Services Coordinator",NA,"Webster","Weekly","31","2","No Info","Potential","0"
"Female","LPN 4th Flr","Another Job","Rochester","Weekly","26","2","No Info","Potential","1"
"Female","Resident Care Aide - Rainier Grove",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Female","Education Aide",NA,"Rochester","Weekly","24","No Answer","No Info","Club30","0"
"Female","HIM Associate",NA,"Rochester","Weekly","22","No Answer","No Info","Club10","0"
"Female","Program Assistant",NA,"Rochester","Weekly","22","No Answer","No Info","Club10","0"
"Female","SACC Receptionist",NA,"Webster","Weekly","21","No Answer","No Info","Club30","0"
"Female","Medical Practice Administrator",NA,"Rochester","Biweekly","35","2","No Info","Potential","0"
"Female","5th Flr Nurse Manager",NA,"West Henrietta","Biweekly","33","2","No Info","Club10","0"
"Female","TCC Dining Ambassador",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Female","Resident Care Aide - The Glen",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Female","Dining Services Lead",NA,"Rochester","Weekly","22","No Answer","No Info","ClubElite","0"
"Female","HIM Associate",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","CNA WTCC1",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Male","Env Svc Assistant",NA,"Webster","Weekly","20","No Answer","No Info","ClubElite","0"
"Female","C/R Resident Relations Supervisor",NA,"Rochester","Biweekly","27","No Answer","No Info","Club30","0"
"Male","P&E Mechanic",NA,"Rochester","Weekly","25","No Answer","No Info","Potential","0"
"Male","Env Svc Assistant",NA,"Rochester","Weekly","20","No Answer","No Info","Club30","0"
"Male","C/R Cook",NA,"Walworth","Weekly","23","2","No Info","Potential","0"
"Male","Driver",NA,"Webster","Weekly","21","No Answer","No Info","Potential","0"
"Male","C/R Security Officer",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Male","C/O Sous Chef","Another Job","Webster","Weekly","24","2","No Info","Potential","1"
"Female","Home & Heart Program Assistant",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Male","Env Svc Assistant",NA,"Rochester","Weekly","20","2","No Info","Club30","0"
"Male","Lead Retail Service Assoc. Bis",NA,"Rochester","Weekly","22","2","No Info","Club20","0"
"Male","Driver","Normal Retirement","Rochester","Weekly","21","No Answer","2","Club10","1"
"Male","LPN 3rd Flr",NA,"Rochester","Weekly","26","No Answer","No Info","ClubElite","0"
"Male","PM Cook",NA,"Pittsford","Weekly","23","No Answer","No Info","Club10","0"
"Female","CNA 3rd Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","Accounting Analyst",NA,"Rochester","Biweekly","29","2","No Info","Club20","0"
"Female","Digital Marketing Specialist","Illness no return","Webster","Biweekly","28","2","No Info","Potential","1"
"Female","RN WTCC2","Abandoned Job","Rochester","Weekly","30","2","No Info","Potential","1"
"Female","Cherry Ridge Marketing Represe",NA,"Ontario","Biweekly","28","2","No Info","Potential","0"
"Female","CNA 7th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","TCC Dining Ambassador",NA,"Rochester","Weekly","21","No Answer","No Info","Club10","0"
"Female","Sr. Program Assistant",NA,"Rochester","Weekly","23","No Answer","No Info","Club20","0"
"Female","Nursing Supervisor",NA,"Rochester","Weekly","32","No Answer","No Info","Club30","0"
"Male","Grounds Supervisor",NA,"Sodus","Biweekly","27","No Answer","No Info","Club10","0"
"Male","Protective Services Sgt.",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Male","Security Supervisor",NA,"Hamlin","Biweekly","26","No Answer","No Info","Club10","0"
"Female","CNA 7th Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Club20","0"
"Female","Staffing Coordinator",NA,"Rochester","Weekly","24","No Answer","No Info","Club10","0"
"Female","Occupational Therapist",NA,"Webster","Biweekly","32","2","No Info","Potential","0"
"Female","Env Svc Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","Env Svc Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","Env Svc Assistant",NA,"Penfield","Weekly","20","No Answer","No Info","ClubElite","0"
"Male","Env Svc Assistant",NA,"Rochester","Weekly","20","No Answer","No Info","Club30","0"
"Female","Per Diem Speech Path",NA,"Rochester","Weekly","74- Per Diem: PT/OT/Speech Path","2","No Info","Potential","0"
"Female","Health Nurse Coordinator",NA,"Rochester","Biweekly","30","No Answer","No Info","Club10","0"
"Female","Life Enrichment Coordinator",NA,"Rochester","Biweekly","27","No Answer","No Info","Club30","0"
"Female","Env Svc Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","Resident Care Aide - Rainier Grove",NA,"Ontario","Weekly","21","2","No Info","Potential","0"
"Female","Nurse Practitioner",NA,"Fairport","Biweekly","35","2","No Info","Potential","0"
"Male","CNA WTCC3",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","CNA SACC",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","Occupational Therapist",NA,"Rochester","Biweekly","32","No Answer","No Info","Club30","0"
"Female","Pharmacy Technician",NA,"Webster","Weekly","23","No Answer","No Info","Club20","0"
"Female","Admissions Professional",NA,"Rochester","Biweekly","29","No Answer","No Info","Club30","0"
"Female","Sr. Resident Account Rep.",NA,"Rochester","Weekly","26","No Answer","No Info","Club20","0"
"Male","P&E Mechanic",NA,"Rochester","Weekly","25","No Answer","No Info","Potential","0"
"Female","CNA 8th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","CSR Technician",NA,"Rochester","Weekly","22","2","No Info","Club10","0"
"Female","SACC Staffing Coordinator",NA,"Newark","Weekly","24","No Answer","No Info","ClubElite","0"
"Female","Staff RN LCC",NA,"Fairport","Weekly","30","2","No Info","Club30","0"
"Female","Env Svc Assistant",NA,"Irondequoit","Weekly","20","No Answer","No Info","ClubElite","0"
"Female","LPN SACC",NA,"Livonia","Weekly","26","2","No Info","Club10","0"
"Female","Env Svc Assistant",NA,"Rochester","Weekly","20","No Answer","No Info","ClubElite","0"
"Female","Per Diem Speech Path",NA,"Pittsford","Weekly","74- Per Diem: PT/OT/Speech Path","No Answer","No Info","Potential","0"
"Female","Resident Care Aide - Rainier Grove",NA,"Webster","Weekly","21","2","No Info","Potential","0"
"Female","CNA WTCC3","Abandoned Job","Rochester","Weekly","22","No Answer","No Info","Club30","1"
"Female","LPN 9th Flr",NA,"Rochester","Weekly","26","No Answer","No Info","Club10","0"
"Female","Home & Heart Program Assistant",NA,"Rochester","Weekly","22","No Answer","No Info","ClubElite","0"
"Female","ITS Financial Support Analyst",NA,"Rochester","Biweekly","30","2","No Info","Club10","0"
"Female","CNA 8th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","Dental Hygienist",NA,"Webster","Weekly","29","4","No Info","Potential","0"
"Female","CNA 7th Flr",NA,"Rochester","Weekly","22","2","No Info","Club10","0"
"Female","Protective Services Sgt.","Poor judgement","Holley","Weekly","22","2","1","Potential","1"
"Female","CNA WTCC2",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Male","CNA 8th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Male","Laundry Worker",NA,"Irondeuoit","Weekly","20","No Answer","No Info","Potential","0"
"Male","Driver",NA,"Hilton","Weekly","21","2","No Info","Potential","0"
"Male","SACC Maint Mechanic B",NA,"Ontario","Weekly","25","2","No Info","Potential","0"
"Male","C/O Kitchen Utility Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Male","Driver",NA,"Macedon","Weekly","21","2","No Info","Potential","0"
"Female","CNA SACC",NA,"Sodus","Weekly","22","2","No Info","Club10","0"
"Female","LPN 4th Flr",NA,"Manchester","Weekly","26","2","No Info","Potential","0"
"Female","Recreation Therapist",NA,"Rochester","Weekly","25","2","No Info","Potential","0"
"Female","CNA 9th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","Director of Quality",NA,"Brockport","Biweekly","96- Director, 9% Target Bonus","No Answer","No Info","Potential","0"
"Female","CNA 7th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","C/R Assisted Living Secretary","Normal Retirement","Webster","Weekly","23","No Answer","No Info","Potential","1"
"Female","CNA SACC",NA,"Rochester","Weekly","22","No Answer","No Info","ClubElite","0"
"Female","CNA 5th Flr",NA,"Rochester","Weekly","22","No Answer","No Info","ClubElite","0"
"Female","Env Svc Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","Material/Coord/Transporter",NA,"Rochester","Weekly","23","No Answer","No Info","Potential","0"
"Female","Nursing Supervisor",NA,"Webster","Weekly","32","No Answer","No Info","Potential","0"
"Female","C/O Concierge",NA,"Rochester","Weekly","22","2","No Info","Club10","0"
"Female","Social Worker MSW Per Diem",NA,"Rochester","Weekly","28","2","No Info","Potential","0"
"Female","LPN 9th Flr",NA,"North Chili","Weekly","26","2","No Info","Potential","0"
"Female","Resident Care Aide - Rainier Grove",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Male","Staff Attending Physician",NA,"Penfield","Biweekly","88- Physician, 10% Target Bonus","No Answer","No Info","Club30","0"
"Female","TCC Dining Ambassador",NA,"Rochester","Weekly","21","2","No Info","Club10","0"
"Female","LPN Wound Healing Center",NA,"Rochester","Biweekly","28","No Answer","No Info","Potential","0"
"Female","CNA 4th Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","LPN 2nd Flr",NA,"Rochester","Weekly","26","No Answer","No Info","Club30","0"
"Female","CNA 5th Flr",NA,"Rochester","Weekly","22","2","No Info","Club10","0"
"Female","CNA 8th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","CNA 4th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","CNA 9th Flr",NA,"Irondequoit","Weekly","22","2","No Info","Potential","0"
"Male","Grounds Helper",NA,"Macedon","Weekly","23","No Answer","No Info","Potential","0"
"Male","C/R Grounds Helper",NA,"Rochester","Weekly","23","No Answer","No Info","Club30","0"
"Female","CNA 3rd Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","CNA 9th Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Female","CNA SCU",NA,"Rochester","Weekly","22","No Answer","No Info","Club20","0"
"Female","Mgr. Financial Plan",NA,"Rochester","Biweekly","32","No Answer","No Info","ClubElite","0"
"Female","Laundry Worker",NA,"Rochester","Weekly","20","No Answer","No Info","Club30","0"
"Female","C/R Dining Room Manager",NA,"Ontario","Weekly","26","No Answer","No Info","Club30","0"
"Female","CNA SACC",NA,"Rochester","Weekly","22","No Answer","No Info","Potential","0"
"Female","CNA WTCC3",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","Payroll Specialist","Normal Retirement","Rochester","Weekly","26","No Answer","2","Club10","1"
"Female","C/R Dementia Services Manager","Another Job","Webster","Weekly","29","No Answer","No Info","Potential","1"
"Female","C/R Waitstaff",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Male","Protective Services Sgt.",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Male","Protective Svc Officer",NA,"Ontario","Weekly","21","No Answer","No Info","Club30","0"
"Female","CNA WTCC3","Poor judgement","Rochester","Weekly","22","2","2","Potential","1"
"Female","Clinical Dietician Per Diem","Another Job","Geneseo","Weekly","28","2","2","Potential","1"
"Female","Recreation Therapist",NA,"Rochester","Weekly","25","No Answer","No Info","Club30","0"
"Female","Clinical Dietician Per Diem",NA,"Webster","Weekly","28","No Answer","No Info","Club30","0"
"Female","CNA SCU","Walked Off Job","Rochester","Weekly","22","2","2","Club10","1"
"Female","LPN 7th Flr",NA,"Rochester","Weekly","26","No Answer","No Info","Club30","0"
"Female","Clinical Dietician - Part time",NA,"Mount Morris","Weekly","28","No Answer","No Info","Club10","0"
"Female","CNA 3rd Flr",NA,"Rochester","Weekly","22","2","No Info","Club10","0"
"Female","VP, Senior Housing Operations and Development",NA,"Cheektowaga","Biweekly","97- VP, 15% Target Bonus","2","No Info","Potential","0"
"Female","CNA WTCC3",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","CNA SACC",NA,"Webster","Weekly","22","2","No Info","Potential","0"
"Male","Receiver",NA,"Rochester","Weekly","20","2","No Info","Club20","0"
"Male","Env Svc Team Leader",NA,"Rochester","Weekly","21","No Answer","No Info","Potential","0"
"Male","Electrician",NA,"Rochester","Weekly","29","No Answer","No Info","Potential","0"
"Male","Env Svc Assistant","Abandoned Job","Rochester","Weekly","20","2","No Info","Potential","1"
"Female","C/R MC LPN Supervisor",NA,"Ontario","Weekly","28","2","No Info","Club10","0"
"Female","C/R ALU LPN Supervisor",NA,"Rochester","Weekly","28","No Answer","No Info","Club30","0"
"Female","CNA SCU",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","Per Diem Occup. Therapist","Elimination of Pos","Rush","Weekly","74- Per Diem: PT/OT/Speech Path","2","No Info","Potential","1"
"Female","Resident Care Aide - The Glen",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Female","HIM Associate",NA,"Webster","Weekly","22","2","No Info","Potential","0"
"Female","Digital Marketing Specialist",NA,"Rochester","Biweekly","28","2","No Info","Potential","0"
"Female","C/R Waitstaff",NA,"Webster","Weekly","20","2","No Info","Potential","0"
"Female","Recreation Therapist",NA,"Webster","Weekly","25","No Answer","No Info","Potential","0"
"Female","Per Diem Phys. Therapist","Elimination of Pos","Rochester","Weekly","74- Per Diem: PT/OT/Speech Path","No Answer","No Info","Club20","1"
"Female","RN",NA,"Rochester","Biweekly","31","2","No Info","Club10","0"
"Female","LPN SACC",NA,"Rochester","Weekly","26","No Answer","No Info","Club20","0"
"Female","WTCC Social Worker","Elimination of Pos","Webster","Biweekly","23","No Answer","No Info","ClubElite","1"
"Male","C/R Grounds Team Leader",NA,"Williamson","Weekly","24","No Answer","No Info","Potential","0"
"Female","CNA 6th Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Club10","0"
"Male","Receiver",NA,"Rochester","Weekly","20","No Answer","No Info","Club10","0"
"Male","Associate Medical Director",NA,"Penfield","Biweekly","97- VP, 15% Target Bonus","No Answer","No Info","ClubElite","0"
"Male","C/R Lead Assistant Svc",NA,"Webster","Weekly","21","No Answer","No Info","Club30","0"
"Male","Nursing Supervisor",NA,"Rochester","Weekly","32","No Answer","No Info","Club30","0"
"Male","Dining Service Assistant",NA,"Rochester","Weekly","20","2","No Info","Club10","0"
"Male","C/R Driver",NA,"Ontario","Weekly","21","2","No Info","Potential","0"
"Male","Staff Attending Physician",NA,"Rochester","Biweekly","88- Physician, 10% Target Bonus","2","No Info","Potential","0"
"Male","Dining Service Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Male","CNA 5th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","CNA Trainee TCC3",NA,"Rochester","Weekly","72- Per Diem: CNA Trainee","1","No Info","Potential","0"
"Female","Resident Service Tech",NA,"Rochester","Weekly","20","No Answer","No Info","ClubElite","0"
"Male","Dining Service Assistant",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Male","CNA 5th Flr",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Male","LPN 8th Flr",NA,"Rochester","Weekly","26","No Answer","No Info","Club30","0"
"Male","Lead Retail Service Assoc. Bis",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Male","C/R Cook",NA,"Macedon","Weekly","23","No Answer","No Info","Club30","0"
"Female","Home & Heart Program Assistant",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","Seamstress",NA,"Rochester","Weekly","21","No Answer","No Info","Club10","0"
"Female","C/R Volunteer Coordinator","Normal Retirement","Rochester","Weekly","27","No Answer","No Info","Club30","1"
"Female","C/R Assisted Living Secretary",NA,"Penfield","Weekly","23","2","No Info","Potential","0"
"Female","Social Worker BSW Part time",NA,"Rochester","Weekly","28","No Answer","No Info","Potential","0"
"Female","C/O Waitstaff",NA,"Rochester","Weekly","20","2","No Info","Potential","0"
"Female","Resident Care Aide - The Glen",NA,"Walworth","Weekly","21","No Answer","No Info","Potential","0"
"Female","Reimbursement Nurse Specialist",NA,"Caledonia","Biweekly","32","No Answer","No Info","ClubElite","0"
"Female","LPN SACC",NA,"Penfield","Weekly","26","2","No Info","Club10","0"
"Female","Administrative Assistant",NA,"Rochester","Weekly","25","2","No Info","Club10","0"
"Female","Medical Warfarin Nurse",NA,"Rochester","Biweekly","30","2","No Info","Potential","0"
"Female","LPN SACC",NA,"Rochester","Weekly","26","No Answer","No Info","Potential","0"
"Female","CNA WTCC3",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","LPN 7th Flr",NA,"Rochester","Weekly","26","No Answer","No Info","ClubElite","0"
"Female","CNA 4th Flr","Absentee-Tardiness","Rochester","Weekly","22","2","1","Potential","1"
"Female","PT Assistant",NA,"Sodus","Weekly","27","2","No Info","Potential","0"
"Female","C/O Receptionist",NA,"Rochester","Weekly","21","No Answer","No Info","Club10","0"
"Female","C/R ALU LPN Supervisor",NA,"Ontario","Weekly","28","No Answer","No Info","Potential","0"
"Female","LPN SCU",NA,"Rochester","Weekly","26","No Answer","No Info","Club30","0"
"Female","Technical Support Coordinator",NA,"Webster","Biweekly","27","No Answer","No Info","Club20","0"
"Female","Clerk - Cafe Rizzo",NA,"Rochester","Weekly","20","2","No Info","Club20","0"
"Female","Protective Svc Officer",NA,"Webster","Weekly","21","2","No Info","Potential","0"
"Female","Sr. CNA/Preceptor 8th Flr",NA,"Rochester","Weekly","23","No Answer","No Info","Potential","0"
"Female","Clinical Informatics Coord",NA,"Rochester","Biweekly","31","No Answer","No Info","ClubElite","0"
"Female","Treasury Acct Specialist",NA,"Pittsford","Weekly","22","No Answer","No Info","Club30","0"
"Female","LPN SCU",NA,"Rochester","Weekly","26","No Answer","No Info","Club30","0"
"Female","Admissions Nurse",NA,"Walworth","Biweekly","30","No Answer","No Info","Club30","0"
"Female","C/O Env. Service Assistant",NA,"Rochester","Weekly","21","No Answer","No Info","Potential","0"
"Female","HIM Associate","Normal Retirement","Rochester","Weekly","22","No Answer","2","Potential","1"
"Female","C/R MC LPN Supervisor",NA,"Rochester","Weekly","28","No Answer","No Info","Potential","0"
"Female","C/O Administrative Assistant",NA,"Rochester","Weekly","25","No Answer","No Info","Club10","0"
"Female","C/R Concierge","Death","Rochester","Weekly","22","No Answer","No Info","Club30","1"
"Female","Nutrition Services Manager",NA,"Fairport","Biweekly","29","No Answer","No Info","Club30","0"
"Female","Asst. Director of Nursing - SA",NA,"Spencerport","Biweekly","96- Director, 9% Target Bonus","2","No Info","Club20","0"
"Female","C/R Activities Coordinator",NA,"Rochester","Weekly","24","2","No Info","Club10","0"
"Female","Sr Physical Therapist",NA,"Webster","Biweekly","34","No Answer","No Info","Club30","0"
"Female","Dining Service Assistant",NA,"Rochester","Weekly","20","2","No Info","Club10","0"
"Female","Protective Svc Officer",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Female","HIM Associate",NA,"Spencerport","Weekly","22","2","No Info","Club10","0"
"Male","Sr. CNA/Preceptor 2nd Flr",NA,"Rochester","Weekly","23","No Answer","No Info","Club10","0"
"Male","Driver",NA,"Rochester","Weekly","21","No Answer","No Info","Potential","0"
"Male","C/O Cook",NA,"Fairport","Weekly","23","2","No Info","Potential","0"
"Male","LPN 4th Flr",NA,"Rochester","Weekly","26","2","No Info","Potential","0"
"Female","Gift Shop Supervisor",NA,"Rochester","Weekly","30","No Answer","No Info","Club30","0"
"Female","Per Diem Speech Path",NA,"Rush","Weekly","74- Per Diem: PT/OT/Speech Path","No Answer","No Info","Club30","0"
"Female","Resident Care Aide - The Glen",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
"Female","CNA 2nd Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","LPN SACC",NA,"Rochester","Weekly","26","No Answer","No Info","Club30","0"
"Female","Clinical Dietician Per Diem",NA,"West Henrietta","Weekly","28","2","No Info","Potential","0"
"Female","Dietetic Coordinator",NA,"Rochester","Weekly","21","No Answer","No Info","ClubElite","0"
"Female","AM Cook",NA,"Rochester","Weekly","23","No Answer","No Info","Club30","0"
"Female","RN WTCC1","Resignation","Rochester","Weekly","30","No Answer","2","Club20","1"
"Female","Physical Therapist",NA,"Webster","Biweekly","32","2","No Info","Potential","0"
"Female","Sr. LPN SCU",NA,"Rochester","Weekly","28","No Answer","No Info","Club10","0"
"Female","LPN WTCC1",NA,"Rochester","Weekly","26","No Answer","No Info","Potential","0"
"Female","CNA 9th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","Pharmacy Technician",NA,"Rochester","Weekly","23","No Answer","No Info","Potential","0"
"Female","LPN 2nd Flr",NA,"Rochester","Weekly","26","No Answer","No Info","Club30","0"
"Female","CNA SACC",NA,"Rochester","Weekly","22","No Answer","No Info","Club30","0"
"Male","Stationary Engineer",NA,"Rochester","Weekly","29","No Answer","No Info","Club30","0"
"Male","C/O Facilities Assistant",NA,"Victor","Weekly","20","No Answer","No Info","Potential","0"
"Male","PM Dining Service Assistant",NA,"Rochester","Weekly","20","2","No Info","Club10","0"
"Male","CNA 4th Flr","Another Job","Rochester","Weekly","22","2","No Info","Potential","1"
"Male","CNA SACC",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","CNA 8th Flr",NA,"Rochester","Weekly","22","2","No Info","Potential","0"
"Female","LPN 3rd Flr",NA,"Rochester","Weekly","26","2","No Info","Potential","0"
"Male","PM Dining Service Assistant","Fight on Co Prop","Rochester","Weekly","20","2","No Info","Potential","1"
"Female","Sr CNA/Preceptor WTCC1",NA,"Rochester","Weekly","23","No Answer","No Info","Club30","0"
"Female","TCC Dining Ambassador",NA,"Rochester","Weekly","21","2","No Info","Potential","0"
